NumIntervals,NumThreads,IntegralValue,ExecutionTime
100000,90,0.815878,0.0028044
100000,120,0.815878,0.0023238
100000,144,0.815878,0.0021784
1000000,1,0.815975,0.0458523
1000000,2,0.815975,0.0237363
1000000,3,0.815975,0.0164687
1000000,4,0.815975,0.013318
1000000,5,0.815975,0.0097141
1000000,6,0.815975,0.0104615
1000000,7,0.815975,0.0117107
1000000,8,0.815975,0.0121413
1000000,9,0.815975,0.0526694
1000000,10,0.815975,0.0248078
1000000,11,0.815975,0.0096462
1000000,12,0.815975,0.0089706
1000000,13,0.815975,0.0091281
1000000,14,0.815975,0.0134149
1000000,15,0.815975,0.0114016
1000000,16,0.815975,0.0103503
1000000,17,0.815975,0.0101428
1000000,18,0.815975,0.0113517
1000000,24,0.815975,0.0118115
1000000,30,0.815975,0.0127275
1000000,36,0.815975,0.0103883
1000000,48,0.815975,0.0161015
1000000,60,0.815975,0.0159269
1000000,90,0.815975,0.013897
1000000,120,0.815975,0.0105916
1000000,144,0.815975,0.0104938
10000000,1,0.815985,0.443273
10000000,2,0.815985,0.235087
10000000,3,0.815985,0.15603
10000000,4,0.815985,0.1225
10000000,5,0.815985,0.100983
10000000,6,0.815985,0.0909213
10000000,7,0.815985,0.0757994
10000000,8,0.815985,0.0873013
10000000,9,0.815985,0.103288
10000000,10,0.815985,0.0900908
10000000,11,0.815985,0.0809181
10000000,12,0.815985,0.0838724
10000000,13,0.815985,0.0878067
10000000,14,0.815985,0.0846454
10000000,15,0.815985,0.0800776
10000000,16,0.815985,0.0742404
10000000,17,0.815985,0.0929111
10000000,18,0.815985,0.0712619
10000000,24,0.815985,0.0662103
10000000,30,0.815985,0.0548225
10000000,36,0.815985,0.0807925
10000000,48,0.815985,0.064758
10000000,60,0.815985,0.0785575
10000000,90,0.815985,0.0768247
10000000,120,0.815985,0.0537768
10000000,144,0.815985,0.0649278
100000000,1,0.815986,4.46653
100000000,2,0.815986,2.33702
100000000,3,0.815986,1.58937
100000000,4,0.815986,1.23588
