VecLength,VecsNum,NumThreads,ExecutionTime
500,10000,18,0.217859
500,10000,24,0.220013
500,10000,30,0.223174
500,10000,36,0.208083
500,10000,48,0.22736
500,10000,60,0.218086
500,10000,90,0.20587
500,10000,120,0.210425
500,10000,144,0.222237
1000,100,1,0.00411908
1000,100,2,0.00408302
1000,100,3,0.00401615
1000,100,4,0.00411289
1000,100,5,0.00474934
1000,100,6,0.00532793
1000,100,7,0.00537738
1000,100,8,0.00704488
1000,100,9,0.00354988
1000,100,10,0.00351909
1000,100,11,0.00368495
1000,100,12,0.00664819
1000,100,13,0.00439076
1000,100,14,0.00343798
1000,100,15,0.00338549
1000,100,16,0.00522454
1000,100,17,0.00517393
1000,100,18,0.00546498
1000,100,24,0.00491495
1000,100,30,0.00503901
1000,100,36,0.00468018
1000,100,48,0.00557118
1000,100,60,0.00580631
1000,100,90,0.0059383
1000,100,120,0.00521665
1000,100,144,0.00407082
1000,500,1,0.0227136
1000,500,2,0.0217987
1000,500,3,0.0227621
1000,500,4,0.0235272
1000,500,5,0.0202181
1000,500,6,0.0305702
1000,500,7,0.0223302
1000,500,8,0.0210907
1000,500,9,0.0223672
1000,500,10,0.02421
1000,500,11,0.0214757
1000,500,12,0.0259019
1000,500,13,0.0263437
1000,500,14,0.0182506
1000,500,15,0.0221699
1000,500,16,0.0205228
1000,500,17,0.0183178
1000,500,18,0.0219347
1000,500,24,0.0184582
1000,500,30,0.0170985
1000,500,36,0.0240182
1000,500,48,0.019461
1000,500,60,0.0173015
1000,500,90,0.0228638
1000,500,120,0.018041
1000,500,144,0.0197449
1000,1000,1,0.0779071
1000,1000,2,0.0435381
1000,1000,3,0.0371075
1000,1000,4,0.0396457
1000,1000,5,0.0382102
1000,1000,6,0.0346828
1000,1000,7,0.0390049
1000,1000,8,0.0395939
1000,1000,9,0.0373951
1000,1000,10,0.0365193
1000,1000,11,0.0426663
1000,1000,12,0.0411885
1000,1000,13,0.0338418
1000,1000,14,0.0428939
1000,1000,15,0.0420076
1000,1000,16,0.0428378
1000,1000,17,0.0397285
1000,1000,18,0.0418005
1000,1000,24,0.0371356
1000,1000,30,0.0388577
1000,1000,36,0.0550968
1000,1000,48,0.0477111
1000,1000,60,0.0438016
1000,1000,90,0.0618898
1000,1000,120,0.0379089
1000,1000,144,0.0443494
1000,10000,1,0.532057
1000,10000,2,0.421713
1000,10000,3,0.435633
1000,10000,4,0.428264
1000,10000,5,0.421113
1000,10000,6,0.440879
1000,10000,7,0.438606
1000,10000,8,0.426599
1000,10000,9,0.421431
1000,10000,10,0.443032
1000,10000,11,0.426818
1000,10000,12,0.443998
1000,10000,13,0.416953
1000,10000,14,0.441992
1000,10000,15,0.426932
1000,10000,16,0.452264
1000,10000,17,0.412028
1000,10000,18,0.421988
1000,10000,24,0.427859
1000,10000,30,0.44173
1000,10000,36,0.427745
1000,10000,48,0.422354
1000,10000,60,0.435446
1000,10000,90,0.425365
1000,10000,120,0.412762
1000,10000,144,0.417724
10000,100,1,0.0543333
10000,100,2,0.0495184
10000,100,3,0.0489223
10000,100,4,0.0497787
10000,100,5,0.0536046
10000,100,6,0.0450703
10000,100,7,0.0543089
10000,100,8,0.0450867
10000,100,9,0.0420511
10000,100,10,0.0447798
10000,100,11,0.0446638
10000,100,12,0.0468967
10000,100,13,0.0462715
10000,100,14,0.0442796
10000,100,15,0.0514234
10000,100,16,0.0432721
10000,100,17,0.0426446
10000,100,18,0.0438682
10000,100,24,0.0456315
10000,100,30,0.0483969
10000,100,36,0.0467385
10000,100,48,0.0419847
10000,100,60,0.0502663
10000,100,90,0.0624332
10000,100,120,0.0432392
10000,100,144,0.052275
10000,500,1,0.255
10000,500,2,0.210696
10000,500,3,0.207943
10000,500,4,0.198957
10000,500,5,0.204095
10000,500,6,0.204099
10000,500,7,0.200462
10000,500,8,0.206865
10000,500,9,0.218282
10000,500,10,0.202624
10000,500,11,0.204767
10000,500,12,0.203825
10000,500,13,0.217157
10000,500,14,0.21051
10000,500,15,0.193852
10000,500,16,0.197017
10000,500,17,0.207888
10000,500,18,0.195906
10000,500,24,0.22192
10000,500,30,0.208418
10000,500,36,0.194311
10000,500,48,0.213506
10000,500,60,0.201352
10000,500,90,0.208204
10000,500,120,0.195031
10000,500,144,0.199953
10000,1000,1,0.516208
10000,1000,2,0.393054
10000,1000,3,0.413947
10000,1000,4,0.411272
10000,1000,5,0.461284
10000,1000,6,0.409205
10000,1000,7,0.450329
